"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1287","#kattappa killed #Bahubali as a secret #MissionImpossible from Ethan Hunt (@TomCruise)",FALSE,0,NA,2015-07-25 18:35:25,FALSE,NA,"625011488059555840",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nishu_bond",0,FALSE,FALSE,NA,NA
"1288","Brilliantly made but honestly tooooo exaggerated na? #Bahubali",FALSE,0,NA,2015-07-25 18:35:20,FALSE,NA,"625011468132442112",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Komall",0,FALSE,FALSE,NA,NA
"1289","Hello @google , please can you tell me why Kattapa killed #Bahubali ? :D",FALSE,1,NA,2015-07-25 18:29:31,FALSE,NA,"625010004223877121",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","vparihar",1,FALSE,FALSE,NA,NA
"1290","Because of  #Bahubali .. #BajrangiBhaijaan has lost 50cr All India in last 8 days..they should have Released the film on 3rd July .",FALSE,2,NA,2015-07-25 18:26:54,FALSE,NA,"625009346326343680",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BeingRohitAmble",1,FALSE,FALSE,NA,NA
"1291","#Bahubali is a must watch... So everyone grab ur tickets before its housefull!!!",FALSE,0,NA,2015-07-25 18:24:43,FALSE,NA,"625008795815555072",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KhwahishSharma",0,FALSE,FALSE,NA,NA
"1292","I just want to know ye #Kattappa ne #bahubali ko kyon mara.... Confused ÌÆªÌ∞ï yr.....",FALSE,0,NA,2015-07-25 18:24:41,FALSE,NA,"625008787179610112",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","tahiralom",0,FALSE,FALSE,NA,NA
"1293","#bahubali waiting",FALSE,0,NA,2015-07-25 18:24:05,FALSE,NA,"625008635379322880",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","aaryanism",0,FALSE,FALSE,NA,NA
"1294","PVNR was first #Bahubali. Amarendra. NaMo is second. https://t.co/egxjzHMzfU",FALSE,1,NA,2015-07-25 18:19:12,FALSE,NA,"625007407144407040",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ramana_brf",1,FALSE,FALSE,NA,NA
"1295","cine lovers, DONT miss #Masaan. Let #Bahubali n #BajrangiBhaijaan wait. @imsanjaimishra @vickykaushal09 r superb. Thanx @ghaywan @ManMundra",FALSE,3,NA,2015-07-25 18:17:40,FALSE,NA,"625007020244996096",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","filmashish",3,FALSE,FALSE,NA,NA
"1296","Indian film fans check out #Bahubali.  Now Showing in Hindi &amp; Telugu For times &amp; tix visit: http://t.co/qUK2DWaLUv #DosLagos",FALSE,0,NA,2015-07-25 18:15:50,FALSE,NA,"625006560897576962",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","doslagos15",0,FALSE,FALSE,NA,NA
"1297","#Masaan will not leave u euphoric like #BajrangiBhaijaan &amp; #Bahubali ...but vl leave u thinkin long aftr it ends! Cathartically brilliant!!",FALSE,1,NA,2015-07-25 18:15:03,FALSE,NA,"625006362393587712",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","auyona",2,FALSE,FALSE,NA,NA
"1298","We need more amazing work like #Bahubali from #IndianCinema...Wish there were more movies shown in #Hindi dubbed from such #SouthIndian ones",FALSE,2,NA,2015-07-25 18:14:52,FALSE,NA,"625006316302438400",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MsFreedomFreak",2,FALSE,FALSE,NA,NA
"1299","Bollywood surely has hit PurplePatch #SalmanKhan shows his acting forte #Bahubali shows Movies can be hugely entertaining without being dumb",FALSE,2,NA,2015-07-25 18:12:53,FALSE,NA,"625005819168321536",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ashish0712",0,FALSE,FALSE,NA,NA
"1300","@RanaDaggubati #RamyaKrishnan #Prabhas you were absolutely awesome in #Bahubali... Can't wait to watch you in the next part of the movie...",FALSE,1,"RanaDaggubati",2015-07-25 18:12:02,FALSE,NA,"625005603681800192","111871312","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MsFreedomFreak",1,FALSE,FALSE,NA,NA
"1301","What made him greatest Dir is, He made thousands of Ppl wantedly act unorganizedly in a single frame &amp; organizedly later, interval #Bahubali",FALSE,0,NA,2015-07-25 18:10:03,FALSE,NA,"625005102458232832",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Deepuzoomout",1,FALSE,FALSE,NA,NA
"1302","If we Go by Telugu Trade #bahubali India net is  around 245cr all languages n 60cr overseas 400cr gross Then y comparing with #Pk ?""",FALSE,0,NA,2015-07-25 18:05:08,FALSE,NA,"625003865922891777",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BeingEmraanshah",0,FALSE,FALSE,NA,NA
"1303","#Bahubali not a movie, but a revolution...
#Bahubalistorm",FALSE,2,NA,2015-07-25 18:04:46,FALSE,NA,"625003775883808768",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Nikhil_Dhavase",0,FALSE,FALSE,NA,NA
